Global Company Key,Data Date,Fiscal Year,Fiscal Quarter,Industry Format,Level of Consolidation - Company Interim Descriptor,Population Source,Data Format,Ticker Symbol,Company Name,ISO Currency Code,Calendar Data Year and Quarter,Fiscal Data Year and Quarter,Active/Inactive Status Marker,Market Value - Total
006066,2012-09-30,2012,3,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2012Q3,2012Q3,A,234404.6009
006066,2012-12-31,2012,4,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2012Q4,2012Q4,A,214031.8404
006066,2013-03-31,2013,1,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2013Q1,2013Q1,A,236505.7602
006066,2013-06-30,2013,2,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2013Q2,2013Q2,A,209346.8629
006066,2013-09-30,2013,3,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2013Q3,2013Q3,A,201078.4437
006066,2013-12-31,2013,4,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2013Q4,2013Q4,A,197772.1199
006066,2014-03-31,2014,1,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2014Q1,2014Q1,A,194835.2982
006066,2014-06-30,2014,2,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2014Q2,2014Q2,A,180833.5018
006066,2014-09-30,2014,3,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2014Q3,2014Q3,A,187867.1578
006066,2014-12-31,2014,4,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2014Q4,2014Q4,A,158919.6706
006066,2015-03-31,2015,1,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2015Q1,2015Q1,A,158049.807
006066,2015-06-30,2015,2,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2015Q2,2015Q2,A,159330.3498
006066,2015-09-30,2015,3,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2015Q3,2015Q3,A,140636.8467
006066,2015-12-31,2015,4,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2015Q4,2015Q4,A,132903.625
006066,2016-03-31,2016,1,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2016Q1,2016Q1,A,145386.2449
006066,2016-06-30,2016,2,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2016Q2,2016Q2,A,145078.0023
006066,2016-09-30,2016,3,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2016Q3,2016Q3,A,151043.3168
006066,2016-12-31,2016,4,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2016Q4,2016Q4,A,157004.4633
006066,2017-03-31,2017,1,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2017Q1,2017Q1,A,163604.0076
006066,2017-06-30,2017,2,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2017Q2,2017Q2,A,143360.3302
006066,2017-09-30,2017,3,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2017Q3,2017Q3,A,134313.7583
006066,2017-12-31,2017,4,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2017Q4,2017Q4,A,141480.7022
006066,2018-03-31,2018,1,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2018Q1,2018Q1,A,140843.8302
006066,2018-06-30,2018,2,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2018Q2,2018Q2,A,127513.6896
006066,2018-09-30,2018,3,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2018Q3,2018Q3,A,137418.7407
006066,2018-12-31,2018,4,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2018Q4,2018Q4,A,101448.0879
006066,2019-03-31,2019,1,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2019Q1,2019Q1,A,125105.3273
006066,2019-06-30,2019,2,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2019Q2,2019Q2,A,122162.1625
006066,2019-09-30,2019,3,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2019Q3,2019Q3,A,128789.3325
006066,2019-12-31,2019,4,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2019Q4,2019Q4,A,118908.2244
006066,2020-03-31,2020,1,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2020Q1,2020Q1,A,98493.8596
006066,2020-06-30,2020,2,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2020Q2,2020Q2,A,107555.2258
006066,2020-09-30,2020,3,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2020Q3,2020Q3,A,108414.9052
006066,2020-12-31,2020,4,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2020Q4,2020Q4,A,112367.1596
006066,2021-03-31,2021,1,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2021Q1,2021Q1,A,119070.875
006066,2021-06-30,2021,2,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2021Q2,2021Q2,A,131391.5488
006066,2021-09-30,2021,3,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2021Q3,2021Q3,A,124592.424
006066,2021-12-31,2021,4,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2021Q4,2021Q4,A,120035.9025
006066,2022-03-31,2022,1,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2022Q1,2022Q1,A,116944.5387
006066,2022-06-30,2022,2,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2022Q2,2022Q2,A,127519.9842
006066,2022-09-30,2022,3,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2022Q3,2022Q3,A,107419.2101
006066,2022-12-31,2022,4,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2022Q4,2022Q4,A,127659.3019
006066,2023-03-31,2023,1,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,2023Q1,2023Q1,A,119035.6191
007647,2008-03-31,2008,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2008Q1,2008Q1,A,168806.0271
007647,2008-06-30,2008,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2008Q2,2008Q2,A,106291.8449
007647,2008-09-30,2008,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2008Q3,2008Q3,A,159671.925
007647,2008-12-31,2008,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2008Q4,2008Q4,A,70645.4989
007647,2009-03-31,2009,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2009Q1,2009Q1,A,43654.479
007647,2009-06-30,2009,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2009Q2,2009Q2,A,114199.2588
007647,2009-09-30,2009,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2009Q3,2009Q3,A,146363.3129
007647,2009-12-31,2009,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2009Q4,2009Q4,A,130272.6746
007647,2010-03-31,2010,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2010Q1,2010Q1,A,179071.2179
007647,2010-06-30,2010,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2010Q2,2010Q2,A,144174.4543
007647,2010-09-30,2010,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2010Q3,2010Q3,A,131466.6198
007647,2010-12-31,2010,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2010Q4,2010Q4,A,134535.9677
007647,2011-03-31,2011,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2011Q1,2011Q1,A,135056.934
007647,2011-06-30,2011,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2011Q2,2011Q2,A,111059.7624
007647,2011-09-30,2011,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2011Q3,2011Q3,A,62022.7238
007647,2011-12-31,2011,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2011Q4,2011Q4,A,58579.8153
007647,2012-03-31,2012,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2012Q1,2012Q1,A,103122.5303
007647,2012-06-30,2012,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2012Q2,2012Q2,A,88154.7884
007647,2012-09-30,2012,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2012Q3,2012Q3,A,95163.2676
007647,2012-12-31,2012,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2012Q4,2012Q4,A,125135.645
007647,2013-03-31,2013,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2013Q1,2013Q1,A,131816.5884
007647,2013-06-30,2013,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2013Q2,2013Q2,A,138156.2403
007647,2013-09-30,2013,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2013Q3,2013Q3,A,147429.2916
007647,2013-12-31,2013,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2013Q4,2013Q4,A,164914.4506
007647,2014-03-31,2014,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2014Q1,2014Q1,A,181116.774
007647,2014-06-30,2014,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2014Q2,2014Q2,A,161628.2303
007647,2014-09-30,2014,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2014Q3,2014Q3,A,179295.9927
007647,2014-12-31,2014,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2014Q4,2014Q4,A,188140.9364
007647,2015-03-31,2015,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2015Q1,2015Q1,A,161908.9714
007647,2015-06-30,2015,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2015Q2,2015Q2,A,178230.6657
007647,2015-09-30,2015,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2015Q3,2015Q3,A,162457.4119
007647,2015-12-31,2015,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2015Q4,2015Q4,A,174699.86
007647,2016-03-31,2016,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2016Q1,2016Q1,A,139427.1632
007647,2016-06-30,2016,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2016Q2,2016Q2,A,135576.6839
007647,2016-09-30,2016,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2016Q3,2016Q3,A,158438.1743
007647,2016-12-31,2016,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2016Q4,2016Q4,A,222163.0346
007647,2017-03-31,2017,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2017Q1,2017Q1,A,235291.1421
007647,2017-06-30,2017,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2017Q2,2017Q2,A,239643.1427
007647,2017-09-30,2017,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2017Q3,2017Q3,A,264992.3912
007647,2017-12-31,2017,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2017Q4,2017Q4,A,303681.155
007647,2018-03-31,2018,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2018Q1,2018Q1,A,305175.5709
007647,2018-06-30,2018,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2018Q2,2018Q2,A,282258.5486
007647,2018-09-30,2018,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2018Q3,2018Q3,A,290424.1334
007647,2018-12-31,2018,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2018Q4,2018Q4,A,238251.207
007647,2019-03-31,2019,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2019Q1,2019Q1,A,263991.8525
007647,2019-06-30,2019,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2019Q2,2019Q2,A,270935.458
007647,2019-09-30,2019,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2019Q3,2019Q3,A,264842.1601
007647,2019-12-31,2019,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2019Q4,2019Q4,A,311209.1678
007647,2020-03-31,2020,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2020Q1,2020Q1,A,184180.589
007647,2020-06-30,2020,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2020Q2,2020Q2,A,205771.9475
007647,2020-09-30,2020,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2020Q3,2020Q3,A,208656.0891
007647,2020-12-31,2020,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2020Q4,2020Q4,A,262206.1723
007647,2021-03-31,2021,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2021Q1,2021Q1,A,332336.6924
007647,2021-06-30,2021,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2021Q2,2021Q2,A,349925.2357
007647,2021-09-30,2021,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2021Q3,2021Q3,A,349840.8078
007647,2021-12-31,2021,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2021Q4,2021Q4,A,359382.7012
007647,2022-03-31,2022,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2022Q1,2022Q1,A,332319.8444
007647,2022-06-30,2022,2,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2022Q2,2022Q2,A,250136.4609
007647,2022-09-30,2022,3,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2022Q3,2022Q3,A,242338.39
007647,2022-12-31,2022,4,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2022Q4,2022Q4,A,264853.2874
007647,2023-03-31,2023,1,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,2023Q1,2023Q1,A,228011.7268
008007,2008-03-31,2008,1,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2008Q1,2008Q1,A,96098.385
008007,2008-06-30,2008,2,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2008Q2,2008Q2,A,78659.0738
008007,2008-09-30,2008,3,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2008Q3,2008Q3,A,124645.3491
008007,2008-12-31,2008,4,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2008Q4,2008Q4,A,124660.0419
008007,2009-03-31,2009,1,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2009Q1,2009Q1,A,60682.2933
008007,2009-06-30,2009,2,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2009Q2,2009Q2,A,113249.2705
008007,2009-09-30,2009,3,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2009Q3,2009Q3,A,131859.7151
008007,2009-12-31,2009,4,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2009Q4,2009Q4,A,139771.0888
008007,2010-03-31,2010,1,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2010Q1,2010Q1,A,162001.7263
008007,2010-06-30,2010,2,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2010Q2,2010Q2,A,133923.7376
008007,2010-09-30,2010,3,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2010Q3,2010Q3,A,131712.5284
008007,2010-12-31,2010,4,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2010Q4,2010Q4,A,163078.1502
008007,2011-03-31,2011,1,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2011Q1,2011Q1,A,168090.8414
008007,2011-06-30,2011,2,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2011Q2,2011Q2,A,148105.5063
008007,2011-09-30,2011,3,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2011Q3,2011Q3,A,127165.9705
008007,2011-12-31,2011,4,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2011Q4,2011Q4,A,145037.5867
008007,2012-03-31,2012,1,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2012Q1,2012Q1,A,180993.2441
008007,2012-06-30,2012,2,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2012Q2,2012Q2,A,176420.5115
008007,2012-09-30,2012,3,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2012Q3,2012Q3,A,182650.7513
008007,2012-12-31,2012,4,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2012Q4,2012Q4,A,180002.6125
008007,2013-03-31,2013,1,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2013Q1,2013Q1,A,195631.7133
008007,2013-06-30,2013,2,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2013Q2,2013Q2,A,218820.0194
008007,2013-09-30,2013,3,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2013Q3,2013Q3,A,217910.7715
008007,2013-12-31,2013,4,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2013Q4,2013Q4,A,238675.2002
008007,2014-03-31,2014,1,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2014Q1,2014Q1,A,261917.261
008007,2014-06-30,2014,2,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2014Q2,2014Q2,A,275934.4812
008007,2014-09-30,2014,3,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2014Q3,2014Q3,A,270502.465
008007,2014-12-31,2014,4,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2014Q4,2014Q4,A,283438.5322
008007,2015-03-31,2015,1,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2015Q1,2015Q1,A,280864.0448
008007,2015-06-30,2015,2,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2015Q2,2015Q2,A,289368.0164
008007,2015-09-30,2015,3,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2015Q3,2015Q3,A,262320.1399
008007,2015-12-31,2015,4,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2015Q4,2015Q4,A,276808.1324
008007,2016-03-31,2016,1,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2016Q1,2016Q1,A,245470.6691
008007,2016-06-30,2016,2,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2016Q2,2016Q2,A,238945.221
008007,2016-09-30,2016,3,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2016Q3,2016Q3,A,222457.8049
008007,2016-12-31,2016,4,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2016Q4,2016Q4,A,276437.767
008007,2017-03-31,2017,1,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2017Q1,2017Q1,A,278118.2701
008007,2017-06-30,2017,2,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2017Q2,2017Q2,A,275208.7257
008007,2017-09-30,2017,3,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2017Q3,2017Q3,A,271772.0857
008007,2017-12-31,2017,4,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2017Q4,2017Q4,A,296774.4034
008007,2018-03-31,2018,1,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2018Q1,2018Q1,A,255440.1556
008007,2018-06-30,2018,2,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2018Q2,2018Q2,A,268832.3299
008007,2018-09-30,2018,3,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2018Q3,2018Q3,A,247639.6462
008007,2018-12-31,2018,4,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2018Q4,2018Q4,A,211104.1843
008007,2019-03-31,2019,1,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2019Q1,2019Q1,A,218017.3274
008007,2019-06-30,2019,2,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2019Q2,2019Q2,A,209135.0461
008007,2019-09-30,2019,3,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2019Q3,2019Q3,A,215335.5225
008007,2019-12-31,2019,4,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2019Q4,2019Q4,A,222432.1188
008007,2020-03-31,2020,1,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2020Q1,2020Q1,A,117566.967
008007,2020-06-30,2020,2,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2020Q2,2020Q2,A,105460.7104
008007,2020-09-30,2020,3,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2020Q3,2020Q3,A,97155.4747
008007,2020-12-31,2020,4,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2020Q4,2020Q4,A,125066.252
008007,2021-03-31,2021,1,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2021Q1,2021Q1,A,161793.5584
008007,2021-06-30,2021,2,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2021Q2,2021Q2,A,186051.2294
008007,2021-09-30,2021,3,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2021Q3,2021Q3,A,185497.1036
008007,2021-12-31,2021,4,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2021Q4,2021Q4,A,186440.732
008007,2022-03-31,2022,1,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2022Q1,2022Q1,A,183658.2632
008007,2022-06-30,2022,2,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2022Q2,2022Q2,A,148570.3999
008007,2022-09-30,2022,3,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2022Q3,2022Q3,A,152652.5566
008007,2022-12-31,2022,4,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2022Q4,2022Q4,A,158297.7672
008007,2023-03-31,2023,1,INDL,C,D,STD,WFC,WELLS FARGO & CO,USD,2023Q1,2023Q1,A,140669.3131
012141,2008-03-31,2008,3,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2008Q1,2008Q3,A,264217.8
012141,2008-06-30,2008,4,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2008Q2,2008Q4,A,251744.01
012141,2008-09-30,2009,1,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2008Q3,2009Q1,A,239596.13
012141,2008-12-31,2009,2,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2008Q4,2009Q2,A,172802.16
012141,2009-03-31,2009,3,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2009Q1,2009Q3,A,163456.26
012141,2009-06-30,2009,4,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2009Q2,2009Q4,A,211743.16
012141,2009-09-30,2010,1,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2009Q3,2010Q1,A,228908
012141,2009-12-31,2010,2,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2009Q4,2010Q2,A,268559.28
012141,2010-03-31,2010,3,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2010Q1,2010Q3,A,256617.075
012141,2010-06-30,2010,4,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2010Q2,2010Q4,A,199450.68
012141,2010-09-30,2011,1,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2010Q3,2011Q1,A,209683.38
012141,2010-12-31,2011,2,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2010Q4,2011Q2,A,234527.73
012141,2011-03-31,2011,3,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2011Q1,2011Q3,A,214063.09
012141,2011-06-30,2011,4,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2011Q2,2011Q4,A,217776
012141,2011-09-30,2012,1,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2011Q3,2012Q1,A,209324.9
012141,2011-12-31,2012,2,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2011Q4,2012Q2,A,217596.72
012141,2012-03-31,2012,3,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2012Q1,2012Q3,A,270942
012141,2012-06-30,2012,4,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2012Q2,2012Q4,A,256374.79
012141,2012-09-30,2013,1,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2012Q3,2013Q1,A,250638.72
012141,2012-12-31,2013,2,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2012Q4,2013Q2,A,223667.0278
012141,2013-03-31,2013,3,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2013Q1,2013Q3,A,238823.145
012141,2013-06-30,2013,4,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2013Q2,2013Q4,A,287690.76
012141,2013-09-30,2014,1,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2013Q3,2014Q1,A,277754.88
012141,2013-12-31,2014,2,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2013Q4,2014Q2,A,310503
012141,2014-03-31,2014,3,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2014Q1,2014Q3,A,338577.4
012141,2014-06-30,2014,4,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2014Q2,2014Q4,A,343566.3
012141,2014-09-30,2015,1,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2014Q3,2015Q1,A,382701.8
012141,2014-12-31,2015,2,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2014Q4,2015Q2,A,381726.1
012141,2015-03-31,2015,3,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2015Q1,2015Q3,A,329834.015
012141,2015-06-30,2015,4,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,2015Q2,2015Q4,A,354392.05
